tiempo,corriente,voltaje,potencia,SOC
1.0,-0.290768,3.597263,-1.045968967984,0.4
2.0,-0.290768,3.597263,-1.045968967984,0.4000118046837607
3.0,-0.290768,3.597263,-1.045968967984,0.40002360936752135
4.0,-0.291648,3.597409,-1.049177140032,0.4000354319145299
5.0,-0.289009,3.59754,-1.0397214378600002,0.4000472187553419
6.0,-0.289128,3.597784,-1.040220092352,0.4000589544423077
7.0,-0.2916325,3.597891,-1.0492619470575002,0.4000707433840812
8.0,-0.2908195,3.598134,-1.046407530813,0.400082566661859
9.0,-0.2901575,3.598241,-1.0440566129575,0.40009435999839743
10.0,-0.290105,3.598343,-1.043897296015,0.40010613883119656
11.0,-0.2908245,3.598571,-1.0465526117895,0.4001179312035256
12.0,-0.2914205,3.598542,-1.048688908911,0.4001297502793803
13.0,-0.2890435,3.598683,-1.0401759297105,0.4001415332024572
14.0,-0.291432,3.598749,-1.048790618568,0.40015331635897433
15.0,-0.2905225,3.598936,-1.04557188406,0.4001651295379273
16.0,-0.2902525,3.599077,-1.0446410969425,0.40017691877403844
17.0,-0.29033,3.599145,-1.04493976785,0.4001887041025641
18.0,-0.291327,3.599186,-1.048540059822,0.4002005112425213
19.0,-0.29029,3.599376,-1.04486285904,0.4002123175705128
20.0,-0.290101,3.599396,-1.044188378996,0.4002240990117521
21.0,-0.2897485,3.599526,-1.042957259211,0.40023586946100426
22.0,-0.2902,3.599529,-1.0445833158,0.4002476419198718
23.0,-0.29048,3.599702,-1.04564143696,0.4002594292275641
24.0,-0.2909525,3.599762,-1.047359753305,0.4002712318103632
25.0,-0.2904535,3.599847,-1.0455881606145,0.400283033855235
26.0,-0.2904725,3.599914,-1.045676019365,0.40029482615651707
27.0,-0.290319,3.599978,-1.045142012982,0.4003066157275641
28.0,-0.291206,3.600062,-1.048359654772,0.4003184201880342
29.0,-0.2900835,3.600107,-1.0443316389345,0.40033021986805556
30.0,-0.2898965,3.600228,-1.043693496402,0.40034199296634615
31.0,-0.292378,3.600403,-1.0526786283340002,0.40035381264102565
32.0,-0.2892385,3.600335,-1.0413554948975,0.4003656189588675
33.0,-0.290163,3.600375,-1.044695611125,0.4003773803141026
34.0,-0.2898795,3.600601,-1.0437404175795002,0.40038915468108977
35.0,-0.2900925,3.600496,-1.04447688588,0.4004009276169872
36.0,-0.2901935,3.600579,-1.0448646220365,0.40041270692681624
37.0,-0.2873975,3.600442,-1.034758029695,0.4004244315304487
38.0,-0.289667,3.600554,-1.042961675518,0.4004361454465812
39.0,-0.2879685,3.600611,-1.0368625487535,0.40044787095352563
40.0,-0.2892185,3.600662,-1.041378062647,0.4004595873563034
41.0,-0.2878415,3.600684,-1.036426283586,0.4004713011810897
42.0,-0.288676,3.600688,-1.039432209088,0.4004830039935897
43.0,-0.2904755,3.600739,-1.0459264613945,0.4004947602740384
44.0,-0.2888095,3.60089,-1.039971240455,0.40050651926442304
45.0,-0.287475,3.600817,-1.035144867075,0.4005182173472222
46.0,-0.2885765,3.6009,-1.0391351188500002,0.4005299107003205
47.0,-0.287806,3.600868,-1.036351415608,0.4005416107724359
48.0,-0.2864775,3.600848,-1.03156193292,0.4005532682366453
49.0,-0.286733,3.600697,-1.032438652901,0.40056490391987176
50.0,-0.286667,3.60094,-1.03227066698,0.40057654344978627
51.0,-0.286042,3.60089,-1.0300057773800002,0.4005881689529914
52.0,-0.2858995,3.600853,-1.0294820722735,0.4005997788766025
53.0,-0.2865335,3.600939,-1.0317896549565,0.4006113987772435
54.0,-0.287629,3.600926,-1.035730744454,0.4006230537852563
55.0,-0.2858155,3.600767,-1.0291550204885,0.4006346942184828
56.0,-0.2842765,3.600901,-1.0236515331265,0.4006462665988247
57.0,-0.2852495,3.600923,-1.0271614852884998,0.40065782748985035
58.0,-0.2839695,3.6009,-1.02254577255,0.40066938214903836
59.0,-0.2839185,3.60089,-1.022359287465,0.400680909790064
60.0,-0.2848835,3.600996,-1.025864343966,0.4006924559845084
61.0,-0.2822125,3.600857,-1.0162068561125,0.400703967548611
62.0,-0.284699,3.60082,-1.02514985318,0.4007154753675212
63.0,-0.2832055,3.600748,-1.019751637714,0.40072700334348277
64.0,-0.2844005,3.600848,-1.024082971624,0.4007385252601494
65.0,-0.283062,3.600912,-1.019281352544,0.4007500442638887
66.0,-0.2558685,3.595497,-0.9199744241445,0.40076098409241434
67.0,-0.254094,3.595273,-0.913537297662,0.40077133589529895
68.0,-0.254187,3.595273,-0.913871658051,0.40078165356517076
69.0,-0.2553125,3.595325,-0.9179314140625,0.4007919959695511
70.0,-0.254944,3.595198,-0.916574158912,0.4008023537403845
71.0,-0.2535775,3.595101,-0.9116367238275,0.40081267629220074
72.0,-0.2538525,3.594996,-0.91259872209,0.4008229766874999
73.0,-0.2528705,3.594825,-0.9090251951625,0.4008332627313033
74.0,-0.2525435,3.595084,-0.907915096154,0.40084352220352554
75.0,-0.2523465,3.59481,-0.9071377216649998,0.4008537710389956
76.0,-0.2505755,3.594753,-0.9007570303515,0.40086397992574774
77.0,-0.2509455,3.594663,-0.9020645038665,0.4008741603733973
78.0,-0.248991,3.594713,-0.8950511845829999,0.40088430865705116
79.0,-0.248017,3.594702,-0.8915472059339999,0.400894397494658
80.0,-0.250015,3.594462,-0.89866941693,0.4009045071185896
81.0,-0.2514875,3.594481,-0.9039670404875,0.400914687190705
82.0,-0.2482765,3.594494,-0.892428389591,0.4009248319727563
83.0,-0.2504,3.594393,-0.9000360072000001,0.4009349546794871
84.0,-0.248089,3.59428,-0.89170133092,0.4009450735801281
85.0,-0.2480685,3.594256,-0.891621694536,0.4009551451533119
86.0,-0.247638,3.594334,-0.890093683092,0.4009652075715811
87.0,-0.2465155,3.594114,-0.8860048097669999,0.40097523846527766
88.0,-0.247078,3.594037,-0.888007473886,0.40098525799145285
89.0,-0.244716,3.594038,-0.8795186032079999,0.4009952409893161
90.0,-0.2455735,3.593861,-0.8825570242835,0.40100519344711527
